Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
86, 360000, 903, 861, 0.185, 16.456, 16.271
87, 360000, 936, 894, 0.223, 16.697, 16.474
88, 360000, 936, 804, 0.22, 15.673, 15.453
89, 360000, 900, 894, 0.161, 16.976, 16.815
90, 360000, 936, 6486500, 0.216, 23.205, 22.989
91, 360000, 888, 894, 0.239, 16.732, 16.493
92, 360000, 936, 789, 0.217, 15.096, 14.879
93, 360000, 900, 789, 0.162, 15.068, 14.906
94, 360000, 900, 804, 0.161, 15.51, 15.349
95, 360000, 888, 804, 0.232, 15.647, 15.415
96, 360000, 903, 894, 0.192, 17.838, 17.646
97, 360000, 903, 789, 0.193, 15.323, 15.13
98, 360000, 903, 891, 0.191, 1.005, 0.814
99, 360000, 936, 894, 0.214, 17.591, 17.377
100, 360000, 936, 804, 0.216, 15.837, 15.621
